case,baseline_makespan,baseline_added,makespan_n1,added_n1,speedup_n1,hit_n1,makespan_n2,added_n2,speedup_n2,hit_n2,makespan_n3,added_n3,speedup_n3,hit_n3,makespan_n4,added_n4,speedup_n4,hit_n4,makespan_n5,added_n5,speedup_n5,hit_n5
case_001,233110,0,233110,0,1.0,0.0,116868,1152,1.9946,0.0,78545,2304,2.9679,0.0,58984,3456,3.9521,0.0,47502,4608,4.9074,0.0
case_002,261945,0,261945,0,1.0,0.0,121768,90624,2.1512,0.0108,82329,138240,3.1817,0.0141,65392,181248,4.0058,0.0277,54581,207360,4.7992,0.0171
case_003,602212,0,602212,0,1.0,0.0,285418,1550994,2.1099,0.1609,251261,2358296,2.3968,0.2428,179646,3927966,3.3522,0.4042,179646,3927966,3.3522,0.4042
case_004,392357,0,392357,0,1.0,0.0,195960,1382400,2.0022,0.1671,130725,221184,3.0014,0.0,100126,331776,3.9186,0.1412,83319,442368,4.7091,0.0
case_005,95618,0,95618,0,1.0,0.0,52945,477222,1.806,0.1775,38024,804684,2.5147,0.2771,36155,1236978,2.6447,0.3776,35497,837720,2.6937,0.3481
case_006,82837,16400,82837,16400,1.0,0.0293,39976,501324,2.0722,0.3505,26930,618368,3.076,0.4343,24877,493156,3.3299,0.3417,22533,916100,3.6763,0.4157
case_007,1012562,0,1012562,0,1.0,0.0,507494,27648,1.9952,0.0,338094,55296,2.9949,0.0,254398,82944,3.9802,0.0,203834,110592,4.9676,0.0
case_008,487605,0,487605,0,1.0,0.0,155082,0,3.1442,0.0,110895,0,4.397,0.0,88500,0,5.5097,0.0,71833,0,6.788,0.0
case_009,153261,0,153261,0,1.0,0.0,91263,299150,1.6793,0.2236,65976,574108,2.323,0.2948,63026,747930,2.4317,0.423,48320,929592,3.1718,0.3756
case_010,86969,0,86969,0,1.0,0.0,41582,496332,2.0915,0.243,27337,548196,3.1814,0.1996,24926,635524,3.4891,0.2582,22007,670752,3.9519,0.3834
case_011,184697,0,184697,0,1.0,0.0,92646,180224,1.9936,0.0,65543,1200128,2.818,0.3947,46880,540672,3.9398,0.0,40551,1650688,4.5547,0.3528
case_012,59088,0,59088,0,1.0,0.0,21950,0,2.6919,0.0,18324,163322,3.2246,0.219,14808,185214,3.9903,0.1896,13281,182852,4.4491,0.2189
case_013,263949,0,263949,0,1.0,0.0,132198,8192,1.9966,0.0,88351,16384,2.9875,0.0,66982,24576,3.9406,0.0,54363,32768,4.8553,0.0
