case,problem,num_cores,makespan,baseline_makespan,speedup,source,source_n,plan
case_001,1,1,233110,233110,1.0,self,1,results/final_plans_mono/p1/n1/case_001_multicore_res.json
case_001,1,2,116868,233110,1.9946,self,2,results/final_plans_mono/p1/n2/case_001_multicore_res.json
case_001,1,3,78545,233110,2.9679,self,3,results/final_plans_mono/p1/n3/case_001_multicore_res.json
case_001,1,4,58984,233110,3.9521,self,4,results/final_plans_mono/p1/n4/case_001_multicore_res.json
case_001,1,5,47502,233110,4.9074,self,5,results/final_plans_mono/p1/n5/case_001_multicore_res.json
case_001,2,1,233110,233110,1.0,self,1,results/final_plans_mono/p2/n1/case_001_multicore_res.json
case_001,2,2,116868,233110,1.9946,self,2,results/final_plans_mono/p2/n2/case_001_multicore_res.json
case_001,2,3,78545,233110,2.9679,self,3,results/final_plans_mono/p2/n3/case_001_multicore_res.json
case_001,2,4,58984,233110,3.9521,self,4,results/final_plans_mono/p2/n4/case_001_multicore_res.json
case_001,2,5,47502,233110,4.9074,self,5,results/final_plans_mono/p2/n5/case_001_multicore_res.json
case_001,3,1,233110,233110,1.0,self,1,results/final_plans_mono/p3/n1/case_001_multicore_res.json
case_001,3,2,116868,233110,1.9946,self,2,results/final_plans_mono/p3/n2/case_001_multicore_res.json
case_001,3,3,78545,233110,2.9679,self,3,results/final_plans_mono/p3/n3/case_001_multicore_res.json
case_001,3,4,58984,233110,3.9521,self,4,results/final_plans_mono/p3/n4/case_001_multicore_res.json
case_001,3,5,47502,233110,4.9074,self,5,results/final_plans_mono/p3/n5/case_001_multicore_res.json
case_002,1,1,261945,261945,1.0,self,1,results/final_plans_mono/p1/n1/case_002_multicore_res.json
case_002,1,2,132841,261945,1.9719,self,2,results/final_plans_mono/p1/n2/case_002_multicore_res.json
case_002,1,3,90573,261945,2.8921,self,3,results/final_plans_mono/p1/n3/case_002_multicore_res.json
case_002,1,4,69677,261945,3.7594,self,4,results/final_plans_mono/p1/n4/case_002_multicore_res.json
case_002,1,5,56971,261945,4.5979,self,5,results/final_plans_mono/p1/n5/case_002_multicore_res.json
