case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_001,3,3,1,single,,0,0.0,0.098,True,233110,0,0,0,1639552,0.0,0,1,233110,,1.0
case_001,2,2,1,single,,0,0.0,0.109,True,233110,0,0,0,1639552,,,1,233110,,1.0
case_004,2,2,1,single,,0,0.0,0.085,True,392357,0,0,0,792576,,,1,392357,,1.0
case_001,1,1,1,single,,0,0.0,0.185,True,233110,0,0,0,1639552,,,1,233110,,1.0
case_004,3,3,1,single,,0,0.0,0.094,True,392357,0,0,0,792576,0.0,0,1,392357,,1.0
case_006,2,2,1,single,,0,0.0,0.097,True,82837,16400,0,16400,559748,,,1,82837,,1.0
case_006,3,3,1,single,,0,0.0,0.102,True,82837,16400,0,16400,559748,0.029275126148920052,16384,1,82837,,1.0
case_004,1,1,1,single,,0,0.0,0.177,True,392357,0,0,0,792576,,,1,392357,,1.0
case_002,3,3,1,single,,0,0.0,0.241,True,261945,0,0,0,1224192,0.0,0,1,261945,,1.0
case_006,1,1,1,single,,0,0.0,0.161,True,82837,16400,0,16400,559748,,,1,82837,,1.0
case_002,2,2,1,single,,0,0.0,0.334,True,261945,0,0,0,1224192,,,1,261945,,1.0
case_008,2,2,1,single,,0,0.0,0.151,True,487605,0,0,0,2654424,,,1,487605,,1.0
case_008,3,3,1,single,,0,0.0,0.187,True,487605,0,0,0,2654424,0.0,0,1,487605,,1.0
case_010,2,2,1,single,,0,0.0,0.063,True,86969,0,0,0,384150,,,1,86969,,1.0
case_010,1,1,1,single,,0,0.0,0.13,True,86969,0,0,0,384150,,,1,86969,,1.0
case_010,3,3,1,single,,0,0.0,0.069,True,86969,0,0,0,384150,0.0,0,1,86969,,1.0
case_008,1,1,1,single,,0,0.0,0.375,True,487605,0,0,0,2654424,,,1,487605,,1.0
case_005,2,2,1,single,,0,0.001,0.546,True,95618,0,0,0,333414,,,1,95618,,1.0
case_011,2,2,1,single,,0,0.0,0.117,True,184697,0,0,0,606208,,,1,184697,,1.0
case_011,3,3,1,single,,0,0.0,0.123,True,184697,0,0,0,606208,0.0,0,1,184697,,1.0
case_011,1,1,1,single,,0,0.0,0.188,True,184697,0,0,0,606208,,,1,184697,,1.0
case_002,1,1,1,single,,0,0.0,0.757,True,261945,0,0,0,1224192,,,1,261945,,1.0
case_005,3,3,1,single,,0,0.002,0.637,True,95618,0,0,0,333414,0.0,0,1,95618,,1.0
case_012,3,3,1,single,,0,0.0,0.157,True,59088,0,0,0,554898,0.0,0,1,59088,,1.0
case_012,2,2,1,single,,0,0.0,0.168,True,59088,0,0,0,554898,,,1,59088,,1.0
case_012,1,1,1,single,,0,0.0,0.31,True,59088,0,0,0,554898,,,1,59088,,1.0
case_013,2,2,1,single,,0,0.0,0.367,True,263949,0,0,0,2527232,,,1,263949,,1.0
case_007,2,2,1,single,,0,0.001,0.943,True,1012562,0,0,0,1732608,,,1,1012562,,1.0
case_007,3,3,1,single,,0,0.001,1.051,True,1012562,0,0,0,1732608,0.0,0,1,1012562,,1.0
case_013,3,3,1,single,,0,0.001,0.491,True,263949,0,0,0,2527232,0.0,0,1,263949,,1.0
case_015,2,2,1,single,,0,0.0,0.171,True,177362,180256,0,180256,1064870,,,1,177362,,1.0
case_015,1,1,1,single,,0,0.0,0.292,True,177362,180256,0,180256,1064870,,,1,177362,,1.0
case_015,3,3,1,single,,0,0.0,0.206,True,177362,180256,0,180256,1064870,0.1692685978123867,180224,1,177362,,1.0
case_009,2,2,1,single,,0,0.002,1.433,True,153261,0,0,0,495332,,,1,153261,,1.0
case_009,3,3,1,single,,0,0.002,1.386,True,153261,0,0,0,495332,0.0,0,1,153261,,1.0
case_017,1,1,1,single,,0,0.001,0.494,True,162810,22528,0,22528,666390,,,1,162810,,1.0
case_017,3,3,1,single,,0,0.0,0.217,True,162810,22528,0,22528,666390,0.040398388942088706,22528,1,162810,,1.0
case_017,2,2,1,single,,0,0.0,0.26,True,162810,22528,0,22528,666390,,,1,162810,,1.0
case_013,1,1,1,single,,0,0.0,1.618,True,263949,0,0,0,2527232,,,1,263949,,1.0
case_018,2,2,1,single,,0,0.0,0.379,True,1004367,1970176,0,1970176,3563024,,,1,1004367,,1.0
case_019,1,1,1,single,,0,0.0,0.127,True,81144,0,0,0,186984,,,1,81144,,1.0
case_019,2,2,1,single,,0,0.0,0.089,True,81144,0,0,0,186984,,,1,81144,,1.0
case_018,3,3,1,single,,0,0.001,0.487,True,1003110,1970176,0,1970176,3563024,0.34375031576536474,1224704,1,1004367,,1.0012531028501361
case_019,3,3,1,single,,0,0.0,0.09,True,81144,0,0,0,186984,0.0,0,1,81144,,1.0
case_005,1,1,1,single,,0,0.001,3.033,True,95618,0,0,0,333414,,,1,95618,,1.0
case_020,3,3,1,single,,0,0.003,0.984,True,532746,0,0,0,2359296,0.0,0,1,532746,,1.0
case_020,2,2,1,single,,0,0.002,1.052,True,532746,0,0,0,2359296,,,1,532746,,1.0
case_018,1,1,1,single,,0,0.001,1.928,True,1004367,1970176,0,1970176,3563024,,,1,1004367,,1.0
case_007,1,1,1,single,,0,0.001,4.1,True,1012562,0,0,0,1732608,,,1,1012562,,1.0
case_022,1,1,1,single,,0,0.0,0.405,True,56780,0,0,0,213686,,,1,56780,,1.0
case_022,2,2,1,single,,0,0.0,0.18,True,56780,0,0,0,213686,,,1,56780,,1.0
case_022,3,3,1,single,,0,0.0,0.204,True,56780,0,0,0,213686,0.0,0,1,56780,,1.0
case_021,2,2,1,single,,0,0.001,0.947,True,6567937,4501504,0,4501504,7839744,,,1,6567937,,1.0
case_023,2,2,1,single,,0,0.0,0.121,True,122614,0,0,0,443444,,,1,122614,,1.0
